years,Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
TueFeb 27,10:00am,USD,High Impact Expected,CB Consumer Confidence,112.5,109,110.2,
TueFeb 27,10:00am,USD,High Impact Expected,Existing Home Sales,6.46M,6.25M,6.27M,
TueFeb 27,10:00am,USD,Low Impact Expected,Richmond Manufacturing Index,-10,-2,-11,
TueFeb 27,4:45pm,NZD,Medium Impact Expected,Building Consents m/m,3.90%,,-4.90%,
TueFeb 27,6:30pm,JPY,Low Impact Expected,Final Manufacturing PMI,53,,53.4,
TueFeb 27,6:50pm,JPY,Medium Impact Expected,Prelim Industrial Production m/m,-1.50%,-1.80%,0.90%,
TueFeb 27,6:50pm,JPY,Medium Impact Expected,Retail Sales y/y,-0.80%,0.20%,-0.20%,
TueFeb 27,7:30pm,AUD,Medium Impact Expected,Construction Work Done q/q,4.30%,1.50%,-2.10%,
TueFeb 27,7:30pm,AUD,Medium Impact Expected,Private Sector Credit m/m,1.30%,1.00%,1.00%,
WedFeb 28,12:00am,JPY,Low Impact Expected,Housing Starts y/y,-0.70%,4.50%,10.20%,
WedFeb 28,2:00am,GBP,Medium Impact Expected,Nationwide HPI m/m,0.70%,0.50%,0.30%,
WedFeb 28,3:55am,EUR,Medium Impact Expected,German Unemployment Change,-69K,-78K,-70K,
WedFeb 28,5:00am,EUR,Low Impact Expected,Consumer Confidence,-5,-6,-7,
WedFeb 28,5:00am,EUR,Low Impact Expected,Final CPI y/y,1.80%,1.90%,1.90%,
WedFeb 28,5:00am,EUR,Low Impact Expected,Final Core CPI y/y,1.70%,1.60%,1.50%,
WedFeb 28,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.40%,7.50%,7.50%,
WedFeb 28,5:30am,CHF,Medium Impact Expected,KOF Economic Barometer,1.79,1.7,1.74,
WedFeb 28,5:30am,GBP,Low Impact Expected,GfK Consumer Confidence,-8,-8,-7,
WedFeb 28,7:30am,USD,Low Impact Expected,FOMC Member Kohn Speaks,,,,
WedFeb 28,8:30am,USD,High Impact Expected,Prelim GDP q/q,2.20%,2.40%,3.50%,
WedFeb 28,8:30am,USD,Low Impact Expected,Prelim GDP Price Index q/q,1.70%,1.50%,1.50%,
WedFeb 28,8:55am,USD,Medium Impact Expected,FOMC Member Geithner Speaks,,,,
WedFeb 28,9:00am,EUR,High Impact Expected,ECB President Trichet Speaks,,,,
WedFeb 28,9:45am,USD,Medium Impact Expected,Chicago PMI,47.9,50,48.8,
WedFeb 28,10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,,
WedFeb 28,10:00am,USD,High Impact Expected,New Home Sales,937K,1080K,1123K,
WedFeb 28,10:30am,USD,Low Impact Expected,Crude Oil Inventories,1.4M,2.1M,3.7M,
WedFeb 28,4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,-3.20%,,-1.50%,
WedFeb 28,5:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,57.7,,51.3,
WedFeb 28,7:30pm,AUD,High Impact Expected,Private Capital Expenditure q/q,-0.20%,2.90%,-5.30%,
WedFeb 28,9:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,53,,52,
WedFeb 28,10:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.67|3.9,,1.70|2.8,
