ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
9923,USD,2,Crude Oil Inventories,1.3M,1.0M,7.3M,10/3/24 10:30,1
9924,USD,2,FOMC Member Hoenig Speaks,,,,10/3/24 10:45,1
9925,CHF,2,Gov Board Member Jordan Speaks,,,,10/3/24 12:00,1
9926,CAD,2,BOC Gov Carney Speaks,,,,10/3/24 13:05,1
9927,NZD,3,GDP q/q,0.80%,0.30%,0.80%,10/3/24 17:45,1
9928,AUD,2,RBA Deputy Gov Lowe Speaks,,,,10/3/24 19:40,1
9929,JPY,1,SPPI y/y,-1.10%,-1.20%,-1.30%,10/3/24 19:50,1
9930,USD,2,FOMC Member Kohn Speaks,,,,10/3/24 20:00,1
9931,AUD,2,RBA Financial Stability Review,,,,10/3/24 20:30,1
9932,EUR,2,German GfK Consumer Climate,3.1,3.2,3.2,10/3/25 3:00,1
9933,EUR,2,French Consumer Spending m/m,0.40%,-2.50%,-1.20%,10/3/25 3:45,1
9934,EUR,2,ECB President Trichet Speaks,,,,10/3/25 4:00,1
9935,EUR,2,M3 Money Supply y/y,-0.10%,0.10%,-0.40%,10/3/25 5:00,1
9936,EUR,3,EU Economic Summit,,,,2010-3-25 Day 1,1
9937,GBP,3,Retail Sales m/m,0.80%,-3.00%,2.10%,10/3/25 5:30,1
9938,USD,3,Unemployment Claims,452K,456K,442K,10/3/25 8:30,1
9939,USD,2,FOMC Member Pianalto Speaks,,,,10/3/25 9:10,1
9940,USD,3,Fed Chairman Bernanke Testifies,,,,10/3/25 10:00,1
9941,USD,1,Natural Gas Storage,10B,-11B,11B,10/3/25 10:30,1
9942,USD,2,Treasury Sec Geithner Speaks,,,,10/3/25 13:30,1
9943,NZD,2,Trade Balance,355M,263M,321M,10/3/25 17:45,1
9944,AUD,2,RBA Gov Stevens Speaks,,,,10/3/25 18:15,1
9945,AUD,2,CB Leading Index m/m,,0.60%,-0.20%,10/3/25 19:00,1
9946,JPY,2,Tokyo Core CPI y/y,-1.70%,-1.80%,-1.80%,10/3/25 19:30,1
9947,EUR,3,EU Economic Summit,,,,2010-3-26 Day 2,1
9948,GBP,1,Revised Business Investment q/q,-5.60%,-5.80%,-4.30%,10/3/26 5:30,0
9949,USD,2,Final GDP q/q,5.90%,5.90%,5.60%,10/3/26 8:30,1
9950,USD,2,Revised UoM Consumer Sentiment,73.1,72.5,73.6,10/3/26 9:55,1
9951,USD,2,FOMC Member Warsh Speaks,,,,10/3/26 11:30,-1
9952,EUR,2,ECB President Trichet Speaks,,,,10/3/26 12:00,1
9953,USD,2,FOMC Member Bullard Speaks,,,,10/3/26 16:00,1
9954,USD,1,FOMC Member Tarullo Speaks,,,,10/3/26 18:00,1
9955,CHF,0,Daylight Saving Time Shift,,,,10/3/27 21:00,1
9956,JPY,2,Retail Sales y/y,1.70%,2.30%,4.20%,10/3/28 19:50,1
9957,AUD,2,HIA New Home Sales m/m,,9.50%,-5.20%,10/3/28 20:34,1
9958,EUR,2,German Prelim CPI m/m,0.30%,0.40%,0.50%,2010-3-29 All Day,1
9959,GBP,2,Net Lending to Individuals m/m,1.8B,1.9B,2.1B,10/3/29 4:30,1
9960,USD,2,Core PCE Price Index m/m,0.10%,0.00%,0.00%,10/3/29 8:30,1
9961,USD,2,Treasury Sec Geithner Speaks,,,,10/3/29 10:00,0
9962,CAD,2,Gov Council Member Jenkins Speaks,,,,10/3/29 12:10,1
9963,GBP,2,MPC Member Dale Speaks,,,,10/3/29 12:45,0
9964,NZD,2,Building Consents m/m,,-2.80%,5.90%,10/3/29 17:45,1
9965,AUD,2,RBA Deputy Gov Debelle Speaks,,,,10/3/29 18:10,1
9966,JPY,2,Household Spending y/y,1.50%,1.70%,-0.50%,10/3/29 19:30,1
9967,JPY,2,Prelim Industrial Production m/m,-0.40%,2.70%,-0.90%,10/3/29 19:50,1
9968,CHF,2,UBS Consumption Indicator,,1.32,1.2,10/3/30 2:00,1
9969,GBP,3,Final GDP q/q,0.30%,0.30%,0.40%,10/3/30 4:30,1
9970,GBP,2,Chancellor Darling Speaks,,,,10/3/30 4:45,1
9971,EUR,1,Retail PMI,,44.6,46.9,10/3/30 5:00,1
9972,EUR,2,Italian 10-y Bond Auction,,3.99|1.4,3.96|1.3,10/3/30 6:32,1
9973,CAD,2,RMPI m/m,-1.00%,3.40%,0.40%,10/3/30 8:30,1
9974,USD,2,S&P/CS Composite-20 HPI y/y,-0.60%,-3.10%,-0.70%,10/3/30 9:00,1
9975,USD,3,CB Consumer Confidence,50.1,46.4,52.5,10/3/30 10:00,1
9976,GBP,2,GfK Consumer Confidence,-13,-14,-15,10/3/30 19:01,1
9977,JPY,1,Final Manufacturing PMI,,52.5,52.4,10/3/30 19:18,1
9978,AUD,3,Building Approvals m/m,2.10%,-5.50%,-3.30%,10/3/30 20:30,1
9979,JPY,2,Average Cash Earnings y/y,0.00%,-0.20%,-0.60%,10/3/30 21:30,1
9980,NZD,3,ANZ Business Confidence,,50.1,42.5,10/3/30 22:00,1
9981,JPY,1,Housing Starts y/y,-0.80%,-8.10%,-9.30%,10/3/31 1:00,1
9982,EUR,2,German Unemployment Change,10K,-1K,-31K,10/3/31 3:55,1
9983,EUR,2,CPI Flash Estimate y/y,1.10%,0.90%,1.50%,10/3/31 5:00,0
9984,CHF,3,KOF Economic Barometer,1.91,1.9,1.93,10/3/31 5:30,0
9985,EUR,1,Italian Monthly Unemployment Rate,8.60%,8.50%,8.50%,10/3/31 6:00,0
9986,USD,3,ADP Non-Farm Employment Change,40K,-24K,-23K,10/3/31 8:15,0
9987,CAD,3,GDP m/m,0.50%,0.50%,0.60%,10/3/31 8:30,1
9988,USD,2,Chicago PMI,61.5,62.6,58.8,10/3/31 9:45,1
9989,USD,2,Factory Orders m/m,0.50%,2.50%,0.60%,10/3/31 10:00,1
9990,USD,2,Crude Oil Inventories,2.4M,7.3M,2.9M,10/3/31 10:30,1
9991,USD,2,Treasury Sec Geithner Speaks,,,,10/3/31 11:00,1
9992,USD,1,FOMC Member Duke Speaks,,,,10/3/31 12:30,1
9993,AUD,1,AIG Manufacturing Index,,53.8,50.2,10/3/31 18:30,1
9994,AUD,1,MI Inflation Gauge m/m,,0.10%,0.50%,10/3/31 19:30,1
9995,JPY,3,Tankan Manufacturing Index,-14,-24,-14,10/3/31 19:50,1
9996,AUD,3,Trade Balance,-1.34B,-1.12B,-1.92B,10/3/31 20:30,1
9997,CNY,3,Manufacturing PMI,55.2,52,55.1,10/3/31 21:00,1
9998,CNY,2,Caixin Manufacturing PMI,,55.8,57,10/3/31 22:30,1
9999,JPY,2,BOJ Gov Shirakawa Speaks,,,,10/3/31 23:34,1
10000,AUD,2,Commodity Prices y/y,,-7.00%,1.40%,10/4/1 1:30,1
10001,EUR,2,German Retail Sales m/m,0.00%,-0.50%,-0.40%,10/4/1 2:00,1
10002,EUR,2,Spanish Manufacturing PMI,,49.1,51.8,10/4/1 3:15,1
10003,CHF,2,Manufacturing PMI,58.7,57.4,65.5,10/4/1 3:30,1
10004,EUR,1,Italian Manufacturing PMI,52.7,51.6,53.7,10/4/1 3:45,1
10005,EUR,1,French Final Manufacturing PMI,56.3,56.3,56.5,10/4/1 3:50,1
10006,EUR,1,German Final Manufacturing PMI,59.6,59.6,60.2,10/4/1 3:55,1
10007,EUR,1,Final Manufacturing PMI,56.3,56.3,56.6,10/4/1 4:00,1
10008,GBP,3,Final Manufacturing PMI,56.8,56.5,57.2,10/4/1 4:30,-1
10009,EUR,2,French 10-y Bond Auction,,3.45|1.8,3.41|1.9,10/4/1 6:10,1
10010,USD,1,Challenger Job Cuts y/y,,-77.40%,-55.00%,10/4/1 7:30,1
10011,USD,3,Unemployment Claims,440K,445K,439K,10/4/1 8:30,1
10012,USD,3,ISM Manufacturing PMI,57,56.5,59.6,10/4/1 10:00,1
10013,USD,1,Natural Gas Storage,20B,11B,12B,10/4/1 10:30,1
10014,USD,1,Total Vehicle Sales,11.5M,10.4M,11.8M,2010-4-1 All Day,1
10015,NZD,0,Bank Holiday,,,,2010-4-1 All Day,1
10016,USD,2,FOMC Member Bullard Speaks,,,,10/4/1 16:00,1
10017,AUD,0,Bank Holiday,,,,2010-4-1 All Day,1
10018,USD,1,FOMC Member Dudley Speaks,,,,10/4/1 17:00,1
10019,JPY,1,Monetary Base y/y,2.30%,2.20%,2.10%,10/4/1 19:50,-1
10020,CHF,0,Bank Holiday,,,,2010-4-2 All Day,1
10021,EUR,0,German Bank Holiday,,,,2010-4-2 All Day,1
10022,GBP,0,Bank Holiday,,,,2010-4-2 All Day,1
10023,CAD,0,Bank Holiday,,,,2010-4-2 All Day,1
10024,USD,3,Non-Farm Employment Change,185K,-14K,162K,10/4/2 8:30,1
10025,CNY,1,Non-Manufacturing PMI,,46.4,58.4,10/4/2 21:00,1
10026,NZD,0,Daylight Saving Time Shift,,,,10/4/3 10:00,1
10027,AUD,0,Daylight Saving Time Shift,,,,10/4/3 12:00,0
10028,NZD,0,Bank Holiday,,,,2010-4-4 All Day,1
10029,AUD,0,Bank Holiday,,,,2010-4-4 All Day,1
10030,CNY,0,Bank Holiday,,,,2010-4-4 All Day,1
10031,CHF,0,Bank Holiday,,,,2010-4-5 All Day,1
10032,EUR,0,French Bank Holiday,,,,2010-4-5 All Day,1
10033,EUR,0,German Bank Holiday,,,,2010-4-5 All Day,1
10034,EUR,0,Italian Bank Holiday,,,,2010-4-5 All Day,1
10035,GBP,0,Bank Holiday,,,,2010-4-5 All Day,1
10036,USD,3,ISM Services PMI,54.1,53,55.4,10/4/5 10:00,1
10037,NZD,3,NZIER Business Confidence,,31,22,10/4/5 18:00,1
10038,AUD,3,ANZ Job Advertisements m/m,,19.10%,1.80%,10/4/5 21:30,1
10039,NZD,1,ANZ Commodity Prices m/m,,3.80%,1.80%,10/4/5 23:00,1
10040,JPY,1,10-y Bond Auction,,1.33|3.4,1.40|2.5,10/4/5 23:45,1
10041,AUD,3,Cash Rate,4.25%,4.00%,4.25%,10/4/6 0:30,0
10042,JPY,1,Leading Indicators,97.90%,96.90%,97.90%,10/4/6 1:00,1
10043,CHF,3,Foreign Currency Reserves,,109B,125B,10/4/6 3:00,1
10044,CHF,2,CPI m/m,0.10%,0.10%,0.10%,10/4/6 3:15,1
10045,EUR,1,Sentix Investor Confidence,-5.9,-7.5,2.5,10/4/6 4:30,0
10046,USD,1,JOLTS Job Openings,,2.85M,2.72M,10/4/6 10:00,1
10047,NZD,1,GDT Price Index,,0.10%,22.60%,10/4/6 10:30,1
10048,USD,3,FOMC Meeting Minutes,,,,10/4/6 14:00,1
10049,GBP,1,BRC Shop Price Index y/y,,1.70%,1.20%,10/4/6 19:01,1
10050,AUD,2,AIG Services Index,,48.3,48.4,10/4/6 19:30,1
10051,JPY,2,Monetary Policy Statement,,,,10/4/6 23:03,0
10052,CHF,3,Retail Sales y/y,3.80%,3.70%,3.10%,10/4/7 3:15,1
10053,JPY,3,BOJ Press Conference,,,,10/4/7 3:22,1
10054,EUR,1,Italian Services PMI,52.3,50.8,55.3,10/4/7 3:45,1
10055,EUR,1,French Final Services PMI,53,53,53.8,10/4/7 3:50,1
10056,EUR,1,German Final Services PMI,54.7,54.7,54.9,10/4/7 3:55,1
10057,EUR,1,Final Services PMI,53.7,53.7,54.1,10/4/7 4:00,1
10058,GBP,3,Final Services PMI,58.1,58.4,56.5,10/4/7 4:30,1
10059,EUR,1,Final GDP q/q,0.10%,0.10%,0.00%,10/4/7 5:00,1
10060,EUR,2,German Factory Orders m/m,-0.80%,5.10%,0.00%,10/4/7 6:00,1
10061,CAD,3,Building Permits m/m,2.10%,-4.70%,-0.50%,10/4/7 8:30,-1
10062,CAD,3,Ivey PMI,55.1,51.9,57.8,10/4/7 10:00,1
10063,USD,2,Crude Oil Inventories,1.0M,2.9M,2.0M,10/4/7 10:30,1
10064,USD,1,FOMC Member Dudley Speaks,,,,10/4/7 12:15,-1
10065,USD,2,10-y Bond Auction,,3.74|3.5,3.90|3.7,10/4/7 13:00,1
10066,USD,3,Fed Chairman Bernanke Speaks,,,,10/4/7 13:30,1
10067,USD,2,FOMC Member Hoenig Speaks,,,,10/4/7 14:00,1
10068,USD,1,Consumer Credit m/m,-0.1B,10.6B,-11.5B,10/4/7 15:00,1
10069,CAD,2,Gov Council Member Murray Speaks,,,,10/4/7 16:00,1
10070,JPY,2,Core Machinery Orders m/m,3.80%,-3.70%,-5.40%,10/4/7 19:50,1
10071,AUD,3,Employment Change,20.1K,-4.7K,19.6K,10/4/7 21:30,0
10072,JPY,2,BOJ Monthly Report,,,,10/4/8 1:00,-1
10073,CHF,1,Unemployment Rate,4.10%,4.10%,4.10%,10/4/8 1:45,1
10074,JPY,1,Prelim Machine Tool Orders y/y,,217.40%,262.10%,10/4/8 2:00,1
10075,EUR,1,French Gov Budget Balance,,-9.2B,-21.8B,10/4/8 2:45,1
10076,GBP,3,Halifax HPI m/m,0.60%,-1.60%,1.10%,10/4/8 4:00,-1
10077,GBP,3,Manufacturing Production m/m,0.70%,-1.00%,1.30%,10/4/8 4:30,1
10078,EUR,2,Retail Sales m/m,0.00%,-0.20%,-0.60%,10/4/8 5:00,1
10079,EUR,2,German Industrial Production m/m,0.70%,0.10%,0.00%,10/4/8 6:00,1
10080,GBP,3,Asset Purchase Facility,200B,200B,200B,10/4/8 7:00,1
10081,EUR,3,Main Refinancing Rate,1.00%,1.00%,1.00%,10/4/8 7:45,1
10082,EUR,3,ECB Press Conference,,,,10/4/8 8:30,1
10083,GBP,2,NIESR GDP Estimate,,0.40%,0.40%,10/4/8 10:00,1
10084,USD,1,FOMC Member Tarullo Speaks,,,,10/4/8 10:30,1
10085,USD,1,30-y Bond Auction,,4.68|2.9,4.77|2.7,10/4/8 13:00,1
10086,USD,2,FOMC Member Kohn Speaks,,,,10/4/8 16:00,1
10087,AUD,1,AIG Construction Index,,52.8,48.7,10/4/8 19:30,1
10088,USD,3,Fed Chairman Bernanke Speaks,,,,10/4/8 20:30,1
10089,EUR,1,German Trade Balance,11.4B,8.7B,12.1B,10/4/9 2:00,1
10090,EUR,2,French Industrial Production m/m,0.20%,1.10%,0.00%,10/4/9 2:45,1
10091,GBP,2,PPI Input m/m,1.30%,0.60%,3.60%,10/4/9 4:30,0
10092,CAD,3,Employment Change,25.9K,20.9K,17.9K,10/4/9 7:00,1
10093,CHF,1,Gov Board Member Danthine Speaks,,,,10/4/9 9:00,-1
10094,USD,1,Final Wholesale Inventories m/m,0.40%,0.10%,0.60%,10/4/9 10:00,1
10095,EUR,2,ECB President Trichet Speaks,,,,10/4/9 11:30,-1
10096,CNY,3,USD-Denominated Trade Balance,-0.4B,7.6B,-7.2B,10/4/9 22:55,-1
10097,EUR,2,ECB President Trichet Speaks,,,,10/4/10 3:45,1
10098,JPY,2,Monetary Policy Meeting Minutes,,,,10/4/11 19:50,1
10099,AUD,3,Home Loans m/m,-0.90%,-7.30%,-1.80%,10/4/11 21:30,1
10100,EUR,1,Italian Industrial Production m/m,0.10%,1.90%,0.00%,10/4/12 4:00,1
10101,CNY,2,New Loans,,700B,511B,10/4/12 4:32,-1
10102,GBP,1,CB Leading Index m/m,,0.80%,0.60%,10/4/12 5:00,1
10103,CAD,3,Housing Starts,201K,200K,197K,10/4/12 8:15,1
10104,CAD,3,BOC Business Outlook Survey,,,,10/4/12 10:30,1
10105,USD,2,Federal Budget Balance,-64.0B,-220.9B,-65.4B,10/4/12 14:00,1
10106,GBP,2,BRC Retail Sales Monitor y/y,,2.20%,4.40%,10/4/12 19:01,1
10107,JPY,1,PPI y/y,-1.10%,-1.60%,-1.30%,10/4/12 19:50,1
10108,AUD,2,NAB Business Confidence,,19,16,10/4/12 21:30,1
10109,JPY,1,30-y Bond Auction,,2.30|3.9,2.20|3.7,10/4/12 23:45,1
10110,EUR,1,German Final CPI m/m,0.50%,0.50%,0.50%,10/4/13 2:00,0
10111,EUR,1,French Final CPI m/m,0.50%,0.60%,0.50%,10/4/13 2:45,1
10112,GBP,3,Goods Trade Balance,-7.3B,-8.1B,-6.2B,10/4/13 4:30,1
10113,GBP,1,30-y Bond Auction,,4.59|1.9,4.60|2.0,10/4/13 5:40,1
10114,USD,1,NFIB Small Business Index,,88,86.8,10/4/13 7:30,1
10115,CAD,3,Trade Balance,0.7B,0.8B,1.4B,10/4/13 8:30,1
10116,USD,1,IBD/TIPP Economic Optimism,47.8,45.4,48.4,10/4/13 10:00,1
10117,USD,1,FOMC Member Tarullo Speaks,,,,10/4/13 10:45,1
10118,USD,2,Treasury Sec Geithner Speaks,,,,10/4/13 12:45,1
10119,NZD,3,Core Retail Sales m/m,0.30%,0.30%,-0.90%,10/4/13 18:45,1
10120,USD,3,Fed Chairman Bernanke Speaks,,,,10/4/13 19:00,1
10121,AUD,2,Westpac Consumer Sentiment,,0.20%,-1.00%,10/4/13 20:30,1
10122,JPY,2,BOJ Gov Shirakawa Speaks,,,,10/4/14 2:30,1
10123,CNY,1,Foreign Direct Investment ytd/y,,4.90%,7.70%,10/4/14 2:42,0
10124,EUR,2,Industrial Production m/m,0.20%,1.60%,0.90%,10/4/14 5:00,1
10125,USD,3,CPI y/y,2.40%,2.10%,2.30%,10/4/14 8:30,1
10126,USD,2,FOMC Member Pianalto Speaks,,,,10/4/14 9:30,1
10127,USD,3,Fed Chairman Bernanke Testifies,,,,10/4/14 10:00,1
10128,USD,2,Crude Oil Inventories,1.4M,2.0M,-2.2M,10/4/14 10:30,1
10129,USD,2,Beige Book,,,,10/4/14 14:00,1
10130,NZD,1,BusinessNZ Manufacturing Index,,53.6,56.3,10/4/14 18:33,1
10131,GBP,2,Nationwide Consumer Confidence,81,81,72,10/4/14 19:01,1
10132,AUD,2,MI Inflation Expectations,,3.20%,4.10%,10/4/14 21:00,1
10133,CNY,3,CPI y/y,2.60%,2.70%,2.40%,10/4/14 22:00,1
10134,JPY,1,Revised Industrial Production m/m,-0.90%,-0.90%,-0.60%,10/4/15 0:30,1
10135,EUR,2,ECB Monthly Bulletin,,,,10/4/15 4:00,1
10136,USD,2,Empire State Manufacturing Index,24,22.9,31.9,10/4/15 8:29,1
10137,USD,3,Unemployment Claims,439K,460K,484K,10/4/15 8:30,1
10138,USD,3,TIC Long-Term Purchases,34.2B,15.0B,47.1B,10/4/15 9:00,1
10139,USD,2,Capacity Utilization Rate,73.30%,73.00%,73.20%,10/4/15 9:15,1
10140,USD,3,Philly Fed Manufacturing Index,19.8,18.9,20.2,10/4/15 10:00,1
10141,USD,1,Natural Gas Storage,81B,31B,87B,10/4/15 10:30,1
10142,USD,2,FOMC Member Bullard Speaks,,,,10/4/15 12:15,1
10143,USD,1,NAHB Housing Market Index,16,15,19,10/4/15 13:00,1
10144,CHF,2,Gov Board Member Jordan Speaks,,,,10/4/15 13:30,0
10145,NZD,2,REINZ HPI m/m,,0.40%,1.70%,10/4/15 18:00,1
10146,CHF,2,PPI m/m,0.20%,-0.30%,0.50%,10/4/16 3:15,-1
10147,EUR,2,Final CPI y/y,1.50%,1.50%,1.40%,10/4/16 5:00,0
10148,CAD,2,Manufacturing Sales m/m,1.00%,1.80%,0.10%,10/4/16 8:30,1
10149,USD,2,FOMC Member Warsh Speaks,,,,10/4/16 9:00,1
10150,USD,3,Prelim UoM Consumer Sentiment,74.7,73.6,69.5,10/4/16 9:55,1
10151,USD,2,FOMC Member Hoenig Speaks,,,,10/4/16 13:00,1
10152,NZD,1,BusinessNZ Services Index,,53.7,57.3,10/4/18 18:30,1
10153,GBP,2,Rightmove HPI m/m,,0.10%,2.60%,10/4/18 19:01,1
10154,JPY,1,Consumer Confidence,40.2,39.8,40.9,10/4/19 1:00,1
10155,EUR,1,German Buba Monthly Report,,,,10/4/19 6:00,1
10156,CAD,2,Foreign Securities Purchases,8.95B,11.84B,6.72B,10/4/19 8:30,1
10157,USD,3,Fed Chairman Bernanke Speaks,,,,10/4/19 9:00,1
10158,USD,1,CB Leading Index m/m,1.00%,0.40%,1.40%,10/4/19 10:00,1
10159,USD,1,FOMC Member Duke Speaks,,,,10/4/19 16:00,1
10160,NZD,3,CPI q/q,0.60%,-0.20%,0.40%,10/4/19 18:45,1
10161,JPY,2,Tertiary Industry Activity m/m,-0.90%,2.90%,-0.20%,10/4/19 19:50,1
10162,AUD,3,Monetary Policy Meeting Minutes,,,,10/4/19 21:30,1
10163,EUR,2,German PPI m/m,0.50%,0.00%,0.70%,10/4/20 2:00,1
10164,EUR,2,Current Account,-5.3B,-1.7B,-3.9B,10/4/20 4:00,1
10165,GBP,3,CPI y/y,3.20%,3.00%,3.40%,10/4/20 4:30,1
10166,EUR,3,German ZEW Economic Sentiment,45.2,44.5,53,10/4/20 5:00,-1
10167,CAD,3,BOC Rate Statement,,,,10/4/20 9:00,0
10168,USD,3,Fed Chairman Bernanke Testifies,,,,10/4/20 11:00,1
10169,EUR,2,German Buba President Weber Speaks,,,,10/4/20 12:00,1
10170,AUD,2,MI Leading Index m/m,,0.40%,0.50%,10/4/20 20:30,1
10171,GBP,3,Claimant Count Change,-7.6K,-40.1K,-32.9K,10/4/21 4:30,1
10172,EUR,1,German 30-y Bond Auction,,3.96|1.5,3.83|1.1,10/4/21 5:05,1
10173,CAD,2,Wholesale Sales m/m,1.00%,2.40%,-1.20%,10/4/21 8:30,1
10174,USD,2,Fed Chairman Bernanke Speaks,,,,10/4/21 10:15,1
10175,USD,2,Crude Oil Inventories,0.1M,-2.2M,1.9M,10/4/21 10:30,1
10176,JPY,2,Trade Balance,0.66T,0.47T,0.67T,10/4/21 19:50,1
10177,AUD,2,New Motor Vehicle Sales m/m,,-1.90%,-2.70%,10/4/21 21:30,1
10178,CHF,2,Trade Balance,1.79B,1.29B,2.01B,10/4/22 2:15,1
10179,EUR,2,French Flash Manufacturing PMI,56.8,56.5,56.7,10/4/22 3:00,1
10180,EUR,2,German Flash Manufacturing PMI,60.2,60.2,61.3,10/4/22 3:30,0
10181,EUR,2,Flash Manufacturing PMI,56.8,56.6,57.5,10/4/22 4:00,1
10182,GBP,3,Public Sector Net Borrowing,24.1B,9.7B,23.5B,10/4/22 4:30,1
10183,CHF,2,Credit Suisse Economic Expectations,,53.8,53.4,10/4/22 5:00,1
10184,GBP,2,CBI Industrial Order Expectations,-32,-37,-36,10/4/22 6:00,0
10185,GBP,2,10-y Bond Auction,,3.99|2.1,4.08|1.9,10/4/22 6:39,1
10186,EUR,2,ECB President Trichet Speaks,,,,10/4/22 7:00,1
10187,CAD,2,Leading Index m/m,0.80%,0.90%,1.00%,10/4/22 8:30,1
10188,EUR,1,Consumer Confidence,-17,-17,-15,10/4/22 10:00,1
10189,All,2,G20 Meetings,,,,2010-4-22 Day 1,1
10190,CAD,3,BOC Monetary Policy Report,,,,10/4/22 10:30,1
10191,CAD,3,BOC Press Conference,,,,10/4/22 11:15,1
10192,USD,2,President Obama Speaks,,,,10/4/22 11:55,1
10193,JPY,2,BOJ Gov Shirakawa Speaks,,,,10/4/22 12:15,0
10194,NZD,1,Visitor Arrivals m/m,,-1.90%,1.10%,10/4/22 18:45,1
10195,AUD,2,Import Prices q/q,-1.40%,-4.30%,0.30%,10/4/22 21:30,1
10196,AUD,3,RBA Gov Stevens Speaks,,,,10/4/22 22:50,1
10197,NZD,1,Credit Card Spending y/y,,1.20%,6.30%,10/4/22 23:00,1
10198,JPY,1,All Industries Activity m/m,-1.30%,3.40%,-2.30%,10/4/23 0:30,1
10199,EUR,2,French Consumer Spending m/m,0.40%,-1.40%,1.20%,10/4/23 2:45,1
10200,EUR,3,German ifo Business Climate,98.8,98.2,101.6,10/4/23 4:00,1
10201,GBP,3,Prelim GDP q/q,0.40%,0.40%,0.20%,10/4/23 4:30,1
10202,EUR,2,Industrial New Orders m/m,0.90%,-1.60%,1.50%,10/4/23 5:00,1
10203,CAD,3,Core CPI m/m,0.10%,0.70%,-0.20%,10/4/23 7:00,1
10204,CAD,3,Core Retail Sales m/m,0.70%,2.00%,-0.10%,10/4/23 8:30,1
10205,EUR,2,Belgian NBB Business Climate,-2.5,-3.6,-2.4,10/4/23 9:00,1
10206,USD,3,New Home Sales,326K,324K,411K,10/4/23 10:00,1
10207,All,2,G20 Meetings,,,,2010-4-23 Day 2,1
10208,USD,2,Treasury Sec Geithner Speaks,,,,10/4/23 18:00,1
10209,All,1,IMF Meetings,,,,2010-4-24 Day 1,1
10210,All,2,IMF Meetings,,,,2010-4-25 Day 2,0
10211,AUD,0,Bank Holiday,,,,2010-4-25 All Day,1
10212,JPY,1,SPPI y/y,-1.30%,-1.20%,-1.10%,10/4/25 19:50,1
10213,EUR,2,ECB President Trichet Speaks,,,,10/4/26 12:30,1
10214,AUD,3,PPI q/q,0.70%,-0.40%,1.00%,10/4/26 21:30,-1
10215,CHF,2,UBS Consumption Indicator,,1.2,1.71,10/4/27 2:00,1
10216,GBP,2,High Street Lending,39.3K,33.4K,34.9K,10/4/27 4:30,0
10217,GBP,3,CBI Realized Sales,16,13,13,10/4/27 6:00,1
10218,USD,2,S&P/CS Composite-20 HPI y/y,1.40%,-0.70%,0.60%,10/4/27 9:00,1
10219,USD,1,Richmond Manufacturing Index,7,6,30,10/4/27 9:59,-1
10220,USD,3,CB Consumer Confidence,53.6,52.3,57.9,10/4/27 10:00,1
10221,EUR,2,ECB President Trichet Speaks,,,,10/4/27 10:15,1
10222,USD,1,Treasury Sec Geithner Speaks,,,,10/4/27 12:30,1
10223,EUR,2,ECB President Trichet Speaks,,,,10/4/27 13:15,1
10224,CAD,3,BOC Gov Carney Speaks,,,,10/4/27 15:30,1
10225,AUD,2,RBA Deputy Gov Debelle Speaks,,,,10/4/27 18:30,1
10226,JPY,2,Retail Sales y/y,3.70%,4.20%,4.70%,10/4/27 19:50,0
10227,AUD,3,CPI q/q,0.90%,0.50%,0.90%,10/4/27 21:30,1
10228,NZD,3,ANZ Business Confidence,,42.5,49.5,10/4/27 22:56,1
10229,EUR,2,German Prelim CPI m/m,0.10%,0.50%,-0.10%,2010-4-28 All Day,1
10230,EUR,2,German Buba President Weber Speaks,,,,10/4/28 4:30,1
10231,EUR,2,German 10-y Bond Auction,,3.13|2.0,2.97|1.7,10/4/28 5:06,-1
10232,USD,2,Crude Oil Inventories,0.9M,1.9M,1.9M,10/4/28 10:30,1
10233,USD,3,FOMC Statement,,,,10/4/28 14:14,1
10234,NZD,3,Official Cash Rate,2.50%,2.50%,2.50%,10/4/28 17:00,1
10235,NZD,2,Trade Balance,375M,335M,567M,10/4/28 18:45,1
10236,AUD,2,CB Leading Index m/m,,-0.20%,-0.30%,10/4/28 20:00,1
10237,JPY,0,Bank Holiday,,,,2010-4-28 All Day,1
10238,GBP,3,Nationwide HPI m/m,0.40%,1.00%,1.00%,10/4/29 2:00,1
10239,EUR,2,German Unemployment Change,-11K,-42K,-68K,10/4/29 3:55,1
10240,EUR,2,M3 Money Supply y/y,-0.10%,-0.30%,-0.10%,10/4/29 4:00,1
10241,EUR,2,Italian 10-y Bond Auction,,3.96|1.3,4.09|1.4,10/4/29 6:31,1
10242,EUR,2,ECB President Trichet Speaks,,,,10/4/29 7:30,1
10243,USD,3,Unemployment Claims,442K,459K,448K,10/4/29 8:30,1
10244,CAD,3,BOC Gov Carney Speaks,,,,10/4/29 10:30,1
10245,USD,1,Treasury Sec Geithner Speaks,,,,10/4/29 14:30,1
10246,NZD,2,Building Consents m/m,,5.80%,-0.40%,10/4/29 18:45,1
10247,GBP,2,GfK Consumer Confidence,-14,-15,-16,10/4/29 19:01,1
10248,JPY,1,Final Manufacturing PMI,,52.4,53.5,10/4/29 19:15,1
10249,JPY,2,Household Spending y/y,0.70%,-0.50%,4.40%,10/4/29 19:30,1
10250,JPY,2,Prelim Industrial Production m/m,0.90%,-0.60%,0.30%,10/4/29 19:50,1
