id,currency,impact,title,previous,forcast,actual,timeofevent,positive
9732,USD,3,FOMC Statement,NULL,NULL,NULL,2010-04-27 21:44:00,1
9733,NZD,3,Official Cash Rate,2.50,2.50,2.50,2010-04-28 00:30:00,1
9734,NZD,2,Trade Balance,335,375,567,2010-04-28 02:15:00,1
9735,AUD,2,CB Leading Index m/m,-0.20,NULL,-0.30,2010-04-28 03:30:00,1
9736,JPY,0,Bank Holiday,NULL,NULL,NULL,2010-04-28 07:30:00,0
9737,GBP,3,Nationwide HPI m/m,1.00,0.40,1.00,2010-04-28 21:30:00,1
9738,EUR,2,German Unemployment Change,-42,-11,-68,2010-04-28 23:25:00,-1
9739,EUR,2,M3 Money Supply y/y,-0.30,-0.10,-0.10,2010-04-28 23:30:00,1
9740,EUR,2,Italian 10-y Bond Auction,3.961,NULL,4.091,2010-04-29 02:01:00,0
9741,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2010-04-29 03:00:00,1
9742,USD,3,Unemployment Claims,459,442,448,2010-04-29 04:00:00,-1
9743,CAD,3,BOC Gov Carney Speaks,NULL,NULL,NULL,2010-04-29 06:00:00,1
9744,USD,1,Treasury Sec Geithner Speaks,NULL,NULL,NULL,2010-04-28 22:00:00,1
9745,NZD,2,Building Consents m/m,5.80,NULL,-0.40,2010-04-29 02:15:00,1
9746,GBP,2,GfK Consumer Confidence,-15,-14,-16,2010-04-29 02:31:00,1
9747,JPY,1,Final Manufacturing PMI,52.4,NULL,53.5,2010-04-29 02:45:00,1
9748,JPY,2,Household Spending y/y,-0.50,0.70,4.40,2010-04-29 03:00:00,1
9749,JPY,2,Prelim Industrial Production m/m,-0.60,0.90,0.30,2010-04-29 03:20:00,1
9750,AUD,2,HIA New Home Sales m/m,-5.20,NULL,0.90,2010-04-29 04:47:00,1
9751,AUD,2,Private Sector Credit m/m,0.40,0.40,0.50,2010-04-29 05:00:00,1
9752,JPY,2,Monetary Policy Statement,NULL,NULL,NULL,2010-04-30 07:48:00,1
9753,JPY,1,Housing Starts y/y,-9.30,-5.60,-2.40,2010-04-29 20:30:00,1
9754,JPY,2,BOJ Outlook Report,NULL,NULL,NULL,2010-04-29 21:30:00,1
9755,EUR,2,Spanish Unemployment Rate,18.80,19.70,20.10,2010-04-29 22:30:00,-1
9756,JPY,3,BOJ Press Conference,NULL,NULL,NULL,2010-04-29 22:55:00,1
9757,CHF,3,SNB Chairman Hildebrand Speaks,NULL,NULL,NULL,2010-04-29 23:30:00,1
9758,EUR,2,CPI Flash Estimate y/y,1.40,1.40,1.50,2010-04-30 00:30:00,1
9759,CHF,3,KOF Economic Barometer,1.96,1.99,1.99,2010-04-30 01:00:00,1
9760,EUR,1,Italian Monthly Unemployment Rate,8.60,8.60,8.80,2010-04-30 01:30:00,-1
9761,CAD,3,GDP m/m,0.60,0.50,0.30,2010-04-30 04:00:00,1
9762,USD,2,Chicago PMI,58.8,60,63.8,2010-04-30 05:15:00,1
9763,USD,2,Revised UoM Consumer Sentiment,69.5,71.2,72.2,2010-04-30 05:25:00,1
9764,CNY,3,Manufacturing PMI,55.1,55.7,55.7,2010-04-30 04:30:00,1
9765,USD,1,FOMC Member Duke Speaks,NULL,NULL,NULL,2010-04-30 20:30:00,1
9766,EUR,3,Eurogroup Meetings,NULL,NULL,NULL,2010-05-02 07:30:00,1
9767,AUD,1,AIG Manufacturing Index,50.2,NULL,59.8,2010-05-02 03:00:00,1
9768,CNY,0,Bank Holiday,NULL,NULL,NULL,2010-05-02 07:30:00,0
9769,JPY,0,Bank Holiday,NULL,NULL,NULL,2010-05-02 07:30:00,0
9770,AUD,1,MI Inflation Gauge m/m,0.50,NULL,0.40,2010-05-02 04:00:00,1
9771,CNY,1,Non-Manufacturing PMI,58.4,NULL,63,2010-05-02 04:30:00,1
9772,AUD,2,HPI q/q,5.10,3.20,4.80,2010-05-02 05:00:00,1
9773,NZD,1,ANZ Commodity Prices m/m,1.80,NULL,4.90,2010-05-02 06:33:00,1
9774,AUD,2,Commodity Prices y/y,1.00,NULL,29.40,2010-05-02 22:00:00,1
9775,GBP,0,Bank Holiday,NULL,NULL,NULL,2010-05-03 07:30:00,0
9776,EUR,2,Spanish Manufacturing PMI,51.8,NULL,53.3,2010-05-02 22:45:00,1
9777,CHF,2,Manufacturing PMI,65.5,64.2,65.9,2010-05-02 23:00:00,1
9778,EUR,2,Italian Manufacturing PMI,53.7,54.5,54.3,2010-05-02 23:15:00,1
9779,EUR,1,French Final Manufacturing PMI,57.8,57.8,59.2,2010-05-02 23:20:00,1
9780,EUR,1,German Final Manufacturing PMI,61.3,61.3,61.5,2010-05-02 23:25:00,1
9781,EUR,1,Final Manufacturing PMI,57.5,57.5,57.6,2010-05-02 23:30:00,1
9782,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-03 00:30:00,1
9783,USD,2,Core PCE Price Index m/m,0.00,0.00,0.10,2010-05-03 04:00:00,1
9784,USD,3,ISM Manufacturing PMI,59.6,60,60.4,2010-05-03 05:30:00,1
9785,USD,1,Total Vehicle Sales,11.8,11.5,11.2,2010-05-03 07:30:00,1
9786,USD,1,Loan Officer Survey,NULL,NULL,NULL,2010-05-02 21:30:00,1
9787,NZD,3,Labor Cost Index q/q,0.30,0.40,0.30,2010-05-03 02:15:00,1
9788,JPY,0,Bank Holiday,NULL,NULL,NULL,2010-05-03 07:30:00,0
9789,CNY,2,Caixin Manufacturing PMI,57,NULL,55.4,2010-05-03 06:00:00,1
9790,AUD,3,Cash Rate,4.25,4.50,4.50,2010-05-04 08:00:00,1
9791,EUR,2,German Retail Sales m/m,1.10,0.00,-2.40,2010-05-03 21:30:00,1
9792,EUR,2,Spanish Unemployment Change,36.0,NULL,-24.2,2010-05-03 22:30:00,-1
9793,GBP,3,Final Manufacturing PMI,57.2,57.5,58,2010-05-04 00:00:00,1
9794,EUR,1,PPI m/m,0.10,0.80,0.60,2010-05-04 00:30:00,1
9795,USD,3,Pending Home Sales m/m,8.30,3.90,5.30,2010-05-04 05:30:00,1
9796,NZD,1,GDT Price Index,22.60,NULL,-0.70,2010-05-04 06:00:00,1
9797,GBP,1,BRC Shop Price Index y/y,1.20,NULL,2.00,2010-05-04 02:31:00,1
9798,AUD,2,AIG Services Index,48.4,NULL,52.3,2010-05-04 03:00:00,1
9799,JPY,0,Bank Holiday,NULL,NULL,NULL,2010-05-04 07:30:00,0
9800,AUD,3,Building Approvals m/m,-2.70,0.90,15.30,2010-05-04 05:00:00,1
9801,EUR,1,Spanish Services PMI,51.3,NULL,50.9,2010-05-04 22:45:00,1
9802,EUR,1,Italian Services PMI,55.3,56,54.5,2010-05-04 23:15:00,1
9803,EUR,1,French Final Services PMI,57.8,57.8,59.2,2010-05-04 23:20:00,1
9804,EUR,1,German Final Services PMI,55,55,55.2,2010-05-04 23:25:00,1
9805,EUR,1,Final Services PMI,55.5,55.6,55.6,2010-05-04 23:30:00,1
9806,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-05 00:00:00,1
9807,EUR,2,Retail Sales m/m,-0.20,0.10,0.00,2010-05-05 00:30:00,1
9808,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-05 01:30:00,1
9809,USD,1,Challenger Job Cuts y/y,-55.00,NULL,-71.10,2010-05-05 03:00:00,-1
9810,USD,3,ADP Non-Farm Employment Change,19,29,32,2010-05-05 03:45:00,1
9811,USD,2,FOMC Member Rosengren Speaks,NULL,NULL,NULL,2010-05-05 04:00:00,1
9812,USD,3,ISM Services PMI,55.4,56.1,55.4,2010-05-05 05:30:00,1
9813,USD,2,Crude Oil Inventories,1.9,0.6,2.8,2010-05-05 06:00:00,-1
9814,NZD,2,RBNZ Gov Bollard Speaks,NULL,NULL,NULL,2010-05-05 01:30:00,1
9815,NZD,3,Employment Change q/q,-0.10,0.30,1.00,2010-05-05 02:15:00,1
9816,USD,2,FOMC Member Rosengren Speaks,NULL,NULL,NULL,2010-05-05 02:30:00,1
9817,AUD,3,Retail Sales m/m,-1.20,0.80,0.30,2010-05-05 05:00:00,1
9818,CHF,3,Foreign Currency Reserves,125,NULL,154,2010-05-05 22:30:00,-1
9819,CHF,2,CPI m/m,0.10,0.80,0.90,2010-05-05 22:45:00,1
9820,GBP,3,Final Services PMI,56.5,57.1,55.3,2010-05-06 00:00:00,1
9821,GBP,3,Parliamentary Elections,NULL,NULL,NULL,2010-05-06 07:30:00,1
9822,EUR,2,French 10-y Bond Auction,3.411,NULL,3.181,2010-05-06 00:42:00,0
9823,EUR,2,German Factory Orders m/m,0.00,1.30,5.00,2010-05-06 01:30:00,1
9824,EUR,3,Main Refinancing Rate,1.00,1.00,1.00,2010-05-06 03:15:00,1
9825,CAD,3,Building Permits m/m,-0.70,0.60,12.20,2010-05-06 04:00:00,1
9826,USD,2,Treasury Sec Geithner Speaks,NULL,NULL,NULL,2010-05-06 04:30:00,1
9827,USD,2,FOMC Member Bullard Speaks,NULL,NULL,NULL,2010-05-06 04:40:00,1
9828,USD,3,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2010-05-06 05:00:00,1
9829,CAD,3,Ivey PMI,57.8,57.7,58.7,2010-05-06 05:30:00,1
9830,USD,1,Natural Gas Storage,83,79,83,2010-05-06 06:00:00,-1
9831,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2010-05-06 07:00:00,1
9832,AUD,1,AIG Construction Index,48.7,NULL,55.8,2010-05-06 03:00:00,1
9833,JPY,1,Monetary Base y/y,2.10,2.40,2.90,2010-05-06 03:20:00,1
9834,AUD,3,RBA Monetary Policy Statement,NULL,NULL,NULL,2010-05-06 05:00:00,1
9835,CAD,2,Gov Council Member Murray Speaks,NULL,NULL,NULL,2010-05-06 05:35:00,1
9836,CHF,1,Unemployment Rate,4.10,4.10,4.00,2010-05-06 21:15:00,-1
9837,EUR,1,French Trade Balance,-3.6,-3.6,-4.7,2010-05-06 22:15:00,1
9838,CHF,3,Retail Sales y/y,2.70,2.90,4.50,2010-05-06 22:45:00,1
9839,EUR,1,French Gov Budget Balance,-21.8,NULL,-28.9,2010-05-06 23:15:00,1
9840,GBP,3,Halifax HPI m/m,1.00,0.60,-0.10,2010-05-06 23:30:00,1
9841,EUR,2,EU Economic Summit,NULL,NULL,NULL,2010-05-07 07:30:00,1
9842,GBP,2,PPI Input m/m,3.80,1.00,0.60,2010-05-07 00:00:00,1
9843,All,2,G7 Meetings,NULL,NULL,NULL,2010-05-07 07:30:00,1
9844,EUR,2,German Industrial Production m/m,-0.20,1.50,4.00,2010-05-07 01:30:00,1
9845,CAD,3,Employment Change,17.9,24.3,108.7,2010-05-07 02:30:00,1
9846,USD,3,Non-Farm Employment Change,230,198,290,2010-05-07 04:00:00,1
9847,USD,1,Consumer Credit m/m,-6.2,-2.9,2.0,2010-05-06 22:30:00,1
9848,USD,2,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2010-05-08 05:00:00,1
9849,EUR,2,ECOFIN Meetings,NULL,NULL,NULL,2010-05-09 07:30:00,1
9850,JPY,2,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2010-05-09 03:20:00,1
9851,USD,3,Fed Announcement,NULL,NULL,NULL,2010-05-09 04:45:00,1
9852,AUD,3,ANZ Job Advertisements m/m,1.80,NULL,-1.20,2010-05-09 05:00:00,1
9853,JPY,2,Monetary Policy Statement,NULL,NULL,NULL,2010-05-09 06:41:00,1
9854,CNY,3,USD-Denominated Trade Balance,-7.2,-0.6,1.7,2010-05-09 07:05:00,1
9855,EUR,1,German Trade Balance,12.1,14.2,13.3,2010-05-09 21:30:00,1
9856,EUR,2,French Industrial Production m/m,0.00,0.30,1.00,2010-05-09 22:15:00,1
9857,EUR,1,Italian Industrial Production m/m,0.00,0.90,-0.10,2010-05-09 23:30:00,1
9858,EUR,2,ECOFIN Meetings,NULL,NULL,NULL,2010-05-10 07:30:00,1
9859,EUR,1,Sentix Investor Confidence,2.5,1.1,-6.4,2010-05-10 00:00:00,1
9860,GBP,3,Asset Purchase Facility,200,200,200,2010-05-10 02:30:00,1
9861,CAD,3,Housing Starts,199,203,202,2010-05-10 03:45:00,1
9862,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2010-05-10 04:15:00,1
9863,USD,3,Fed Announcement,NULL,NULL,NULL,2010-05-09 21:30:00,1
9864,GBP,2,BRC Retail Sales Monitor y/y,4.40,NULL,-2.30,2010-05-10 02:31:00,1
9865,CNY,3,CPI y/y,2.40,2.70,2.80,2010-05-10 05:30:00,1
9866,CNY,2,New Loans,511,NULL,774,2010-05-10 05:33:00,1
9867,JPY,1,10-y Bond Auction,1.402,NULL,1.323,2010-05-10 07:15:00,0
9868,CHF,2,SECO Consumer Climate,-7,1,14,2010-05-10 21:15:00,1
9869,EUR,1,German Final CPI m/m,-0.10,-0.10,-0.10,2010-05-10 21:30:00,1
9870,GBP,3,Manufacturing Production m/m,1.40,0.30,2.30,2010-05-11 00:00:00,1
9871,AUD,3,Annual Budget Release,NULL,NULL,NULL,2010-05-11 01:00:00,1
9872,USD,1,NFIB Small Business Index,86.8,87.2,90.6,2010-05-11 03:00:00,1
9873,GBP,2,NIESR GDP Estimate,0.20,NULL,0.50,2010-05-11 05:30:00,1
9874,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-11 05:45:00,1
9875,CHF,3,SNB Chairman Hildebrand Speaks,NULL,NULL,NULL,2010-05-11 08:15:00,1
9876,AUD,3,Home Loans m/m,-2.00,-2.90,-3.40,2010-05-11 05:00:00,1
9877,JPY,1,Leading Indicators,98.40,99.30,102.80,2010-05-11 20:30:00,1
9878,EUR,3,German Prelim GDP q/q,0.20,0.00,0.20,2010-05-11 21:30:00,1
9879,EUR,1,French Final CPI m/m,0.50,0.20,0.30,2010-05-11 22:15:00,1
9880,EUR,2,Spanish Flash GDP q/q,-0.10,0.00,0.10,2010-05-11 22:30:00,1
9881,CHF,2,PPI m/m,0.50,0.40,0.60,2010-05-11 22:45:00,1
9882,EUR,1,Italian Prelim GDP q/q,-0.10,0.30,0.50,2010-05-11 23:30:00,1
9883,GBP,3,Claimant Count Change,-32.7,-20.1,-27.1,2010-05-12 00:00:00,-1
9884,EUR,2,Flash GDP q/q,0.00,0.10,0.20,2010-05-12 00:30:00,1
9885,GBP,3,BOE Gov King Speaks,NULL,NULL,NULL,2010-05-12 01:00:00,1
9886,CAD,3,Trade Balance,1.2,1.6,0.3,2010-05-12 04:00:00,1
9887,USD,2,FOMC Member Rosengren Speaks,NULL,NULL,NULL,2010-05-12 05:45:00,1
9888,USD,2,Crude Oil Inventories,2.8,1.0,1.9,2010-05-12 06:00:00,-1
9889,USD,2,10-y Bond Auction,3.903,NULL,3.553,2010-05-11 20:30:00,0
9890,USD,2,FOMC Member Bullard Speaks,NULL,NULL,NULL,2010-05-11 20:45:00,1
9891,USD,1,Federal Budget Balance,-65.4,-30.5,-82.7,2010-05-11 21:30:00,1
9892,NZD,1,BusinessNZ Manufacturing Index,56.7,NULL,58.9,2010-05-12 02:03:00,1
9893,NZD,1,FPI m/m,0.20,NULL,-0.50,2010-05-12 02:18:00,1
9894,GBP,2,Nationwide Consumer Confidence,73,74,74,2010-05-12 02:31:00,1
9895,JPY,1,Bank Lending y/y,-1.80,NULL,-1.80,2010-05-12 03:20:00,1
9896,AUD,2,RBA Deputy Gov Lowe Speaks,NULL,NULL,NULL,2010-05-12 04:30:00,1
9897,AUD,3,Employment Change,27.7,22.6,33.7,2010-05-12 05:00:00,1
9898,JPY,1,Economy Watchers Sentiment,47.4,47.8,49.8,2010-05-12 20:30:00,1
9899,CHF,0,Bank Holiday,NULL,NULL,NULL,2010-05-13 07:30:00,0
9900,EUR,0,French Bank Holiday,NULL,NULL,NULL,2010-05-13 07:30:00,0
9901,EUR,0,German Bank Holiday,NULL,NULL,NULL,2010-05-13 07:30:00,0
9902,JPY,1,Prelim Machine Tool Orders y/y,262.20,NULL,220.50,2010-05-12 21:30:00,1
9903,EUR,2,ECB Monthly Bulletin,NULL,NULL,NULL,2010-05-12 23:30:00,1
9904,GBP,3,Goods Trade Balance,-6.3,-6.5,-7.5,2010-05-13 00:00:00,1
9905,USD,3,Unemployment Claims,448,440,444,2010-05-13 04:00:00,-1
9906,USD,2,FOMC Member Kohn Speaks,NULL,NULL,NULL,2010-05-13 04:30:00,1
9907,USD,1,Natural Gas Storage,83,102,94,2010-05-13 06:00:00,-1
9908,USD,3,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2010-05-13 08:00:00,1
9909,USD,1,30-y Bond Auction,4.772,NULL,4.492,2010-05-12 20:30:00,0
9910,CAD,2,Gov Council Member Duguay Speaks,NULL,NULL,NULL,2010-05-12 21:30:00,1
9911,NZD,2,REINZ HPI m/m,1.70,NULL,-0.40,2010-05-13 01:30:00,1
9912,NZD,3,Core Retail Sales m/m,-0.90,1.50,1.10,2010-05-13 02:15:00,1
9913,CNY,1,Foreign Direct Investment ytd/y,7.70,NULL,11.30,2010-05-13 03:58:00,1
9914,GBP,1,CB Leading Index m/m,0.70,NULL,1.00,2010-05-14 00:30:00,1
9915,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-14 03:50:00,1
9916,CAD,2,Manufacturing Sales m/m,0.00,1.10,1.20,2010-05-14 04:00:00,1
9917,USD,2,Capacity Utilization Rate,73.10,73.80,73.70,2010-05-14 04:45:00,1
9918,USD,3,Prelim UoM Consumer Sentiment,72.2,73.5,73.3,2010-05-14 05:25:00,1
9919,USD,2,Business Inventories m/m,0.40,0.40,0.40,2010-05-14 05:30:00,1
9920,CAD,2,Gov Council Member Murray Speaks,NULL,NULL,NULL,2010-05-14 06:30:00,1
9921,NZD,1,BusinessNZ Services Index,56.5,NULL,54.1,2010-05-16 02:00:00,1
9922,GBP,2,Rightmove HPI m/m,2.60,NULL,0.70,2010-05-16 02:31:00,1
9923,JPY,2,Core Machinery Orders m/m,-5.40,5.80,5.40,2010-05-16 03:20:00,1
9924,CNY,1,CB Leading Index m/m,0.40,NULL,1.10,2010-05-16 05:30:00,1
9925,GBP,1,Chancellor Osborne Speaks,NULL,NULL,NULL,2010-05-16 23:30:00,1
9926,GBP,2,CBI Industrial Order Expectations,-36,-33,-18,2010-05-17 01:30:00,1
9927,USD,2,Empire State Manufacturing Index,31.9,30.1,19.1,2010-05-17 04:00:00,1
9928,USD,3,TIC Long-Term Purchases,47.1,50.5,140.5,2010-05-17 04:30:00,1
9929,CHF,3,SNB Chairman Hildebrand Speaks,NULL,NULL,NULL,2010-05-16 21:30:00,1
9930,USD,1,NAHB Housing Market Index,19,20,22,2010-05-16 20:30:00,1
9931,NZD,3,PPI Input q/q,0.30,0.50,1.30,2010-05-17 02:15:00,1
9932,JPY,2,Tertiary Industry Activity m/m,-0.30,-1.30,-3.00,2010-05-17 03:20:00,1
9933,AUD,3,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2010-05-17 05:00:00,1
9934,JPY,1,Consumer Confidence,40.9,42.2,42,2010-05-17 20:30:00,1
9935,EUR,2,French Prelim Private Payrolls q/q,-0.10,0.10,-0.10,2010-05-17 22:15:00,1
9936,EUR,1,Italian Trade Balance,-2.33,-1.97,-1.34,2010-05-17 23:30:00,1
9937,EUR,2,ECOFIN Meetings,NULL,NULL,NULL,2010-05-18 07:30:00,1
9938,GBP,3,CPI y/y,3.40,3.50,3.70,2010-05-18 00:00:00,1
9939,EUR,3,German ZEW Economic Sentiment,53,47.1,45.8,2010-05-18 00:30:00,1
9940,GBP,3,BOE Inflation Letter,NULL,NULL,NULL,2010-05-18 01:00:00,1
9941,CAD,2,Foreign Securities Purchases,6.74,6.42,-0.62,2010-05-18 04:00:00,1
9942,USD,2,FOMC Member Pianalto Speaks,NULL,NULL,NULL,2010-05-17 21:50:00,1
9943,NZD,3,RBNZ Financial Stability Report,NULL,NULL,NULL,2010-05-18 00:30:00,1
9944,AUD,2,RBA Assist Gov Edey Speaks,NULL,NULL,NULL,2010-05-18 04:00:00,1
9945,AUD,2,Wage Price Index q/q,0.60,0.90,0.90,2010-05-18 05:00:00,1
9946,JPY,1,Revised Industrial Production m/m,0.30,0.40,1.20,2010-05-19 08:00:00,1
9947,GBP,3,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9,2010-05-19 00:00:00,1
9948,EUR,2,German 10-y Bond Auction,2.971,NULL,2.751,2010-05-19 00:36:00,0
9949,CAD,2,Wholesale Sales m/m,-1.50,0.30,1.40,2010-05-19 04:00:00,1
9950,USD,2,Mortgage Delinquencies,9.47,NULL,10.06,2010-05-19 05:30:00,1
9951,USD,2,Crude Oil Inventories,1.9,0.7,0.2,2010-05-19 06:00:00,-1
9952,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2010-05-19 06:30:00,1
9953,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-18 21:00:00,1
9954,USD,3,FOMC Meeting Minutes,NULL,NULL,NULL,2010-05-18 21:30:00,1
9955,GBP,1,Chancellor Osborne Speaks,NULL,NULL,NULL,2010-05-18 22:15:00,1
9956,JPY,3,Prelim GDP q/q,1.00,1.40,1.20,2010-05-19 03:20:00,1
9957,AUD,2,MI Inflation Expectations,4.10,NULL,3.60,2010-05-19 04:30:00,1
9958,NZD,3,Annual Budget Release,NULL,NULL,NULL,2010-05-19 05:30:00,1
9959,EUR,2,German PPI m/m,0.70,0.60,0.80,2010-05-19 21:30:00,1
9960,GBP,3,Retail Sales m/m,0.50,0.30,0.30,2010-05-20 00:00:00,1
9961,EUR,2,Spanish 10-y Bond Auction,3.861,NULL,4.052,2010-05-20 00:10:00,0
9962,CHF,2,Credit Suisse Economic Expectations,53.4,NULL,40.5,2010-05-20 00:30:00,1
9963,GBP,2,10-y Bond Auction,4.081,NULL,3.681,2010-05-20 01:08:00,0
9964,CAD,2,Leading Index m/m,1.20,0.70,0.90,2010-05-20 04:00:00,1
9965,CHF,2,Gov Board Member Jordan Speaks,NULL,NULL,NULL,2010-05-20 05:30:00,1
9966,CAD,1,BOC Review,NULL,NULL,NULL,2010-05-20 06:00:00,1
9967,NZD,1,Visitor Arrivals m/m,0.80,NULL,-1.80,2010-05-20 02:15:00,1
9968,NZD,1,Credit Card Spending y/y,6.20,NULL,1.90,2010-05-19 20:30:00,1
9969,JPY,2,Monetary Policy Statement,NULL,NULL,NULL,2010-05-20 07:11:00,1
9970,EUR,1,German Final GDP q/q,0.20,0.20,0.20,2010-05-20 21:30:00,1
9971,EUR,2,French Flash Manufacturing PMI,56.6,56.7,56.2,2010-05-20 22:30:00,1
9972,JPY,3,BOJ Press Conference,NULL,NULL,NULL,2010-05-20 22:45:00,1
9973,EUR,2,German Flash Manufacturing PMI,61.5,61.6,58.3,2010-05-20 23:00:00,1
9974,EUR,3,German ifo Business Climate,101.6,101.9,101.5,2010-05-20 23:30:00,1
9975,GBP,3,Public Sector Net Borrowing,18.0,11.1,10.0,2010-05-21 00:00:00,1
9976,CAD,3,Core CPI m/m,-0.20,0.20,0.30,2010-05-21 02:30:00,1
9977,CAD,3,Core Retail Sales m/m,0.00,0.50,1.70,2010-05-21 04:00:00,1
9978,USD,1,FOMC Member Dudley Speaks,NULL,NULL,NULL,2010-05-21 02:30:00,1
9979,USD,2,FOMC Member Pianalto Speaks,NULL,NULL,NULL,2010-05-22 21:30:00,1
9980,AUD,2,New Motor Vehicle Sales m/m,-2.80,NULL,8.40,2010-05-23 05:00:00,1
9981,JPY,1,All Industries Activity m/m,-2.30,-0.60,-0.80,2010-05-24 08:00:00,1
9982,JPY,2,BOJ Monthly Report,NULL,NULL,NULL,2010-05-23 20:30:00,1
9983,CHF,0,Bank Holiday,NULL,NULL,NULL,2010-05-24 07:30:00,0
9984,EUR,0,French Bank Holiday,NULL,NULL,NULL,2010-05-24 07:30:00,0
9985,EUR,0,German Bank Holiday,NULL,NULL,NULL,2010-05-24 07:30:00,0
9986,CAD,0,Bank Holiday,NULL,NULL,NULL,2010-05-24 07:30:00,0
9987,USD,3,Existing Home Sales,5.36,5.62,5.77,2010-05-24 05:30:00,1
9988,GBP,2,MPC Member Posen Speaks,NULL,NULL,NULL,2010-05-23 21:00:00,1
9989,NZD,3,Inflation Expectations q/q,2.65,NULL,2.80,2010-05-23 20:30:00,1
9990,CHF,2,UBS Consumption Indicator,1.68,NULL,1.76,2010-05-24 21:30:00,1
9991,EUR,1,Italian Retail Sales m/m,0.10,0.10,0.50,2010-05-24 23:30:00,1
9992,GBP,3,Second Estimate GDP q/q,0.20,0.30,0.30,2010-05-25 00:00:00,1
9993,EUR,2,Industrial New Orders m/m,1.90,2.20,5.20,2010-05-25 00:30:00,1
9994,USD,2,S&P/CS Composite-20 HPI y/y,0.70,2.50,2.30,2010-05-25 04:30:00,1
9995,USD,1,Richmond Manufacturing Index,30,25,26,2010-05-25 05:29:00,1
9996,USD,3,CB Consumer Confidence,57.7,59.1,63.3,2010-05-25 05:30:00,1
9997,USD,2,FOMC Member Bullard Speaks,NULL,NULL,NULL,2010-05-25 06:45:00,1
9998,JPY,2,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2010-05-25 03:20:00,1
9999,AUD,1,MI Leading Index m/m,0.50,NULL,0.90,2010-05-25 04:00:00,1
10000,AUD,2,Construction Work Done q/q,-0.20,4.10,1.90,2010-05-25 05:00:00,1
10001,EUR,2,German GfK Consumer Climate,3.7,3.7,3.5,2010-05-25 21:30:00,1
10002,EUR,2,French Consumer Spending m/m,1.60,-0.50,-1.20,2010-05-25 22:15:00,1
10003,GBP,2,High Street Lending,35.0,37.6,35.7,2010-05-26 00:00:00,1
10004,EUR,1,German Buba Monthly Report,NULL,NULL,NULL,2010-05-26 01:30:00,1
10005,USD,3,Core Durable Goods Orders m/m,4.80,0.50,-1.00,2010-05-26 04:00:00,1
10006,EUR,2,Belgian NBB Business Climate,-2.4,-2.1,-4.9,2010-05-26 04:30:00,1
10007,USD,3,New Home Sales,439,425,504,2010-05-26 05:30:00,1
10008,USD,2,Crude Oil Inventories,0.2,0.2,2.4,2010-05-26 06:00:00,-1
10009,NZD,2,Trade Balance,590,455,656,2010-05-26 02:15:00,1
10010,JPY,2,Trade Balance,0.77,0.69,0.73,2010-05-26 03:20:00,1
10011,AUD,2,CB Leading Index m/m,-0.30,NULL,0.30,2010-05-26 03:30:00,1
10012,AUD,3,Private Capital Expenditure q/q,6.10,2.10,-0.20,2010-05-26 05:00:00,1
10013,EUR,2,German Prelim CPI m/m,-0.10,0.10,0.10,2010-05-27 07:30:00,1
10014,USD,2,FOMC Member Bullard Speaks,NULL,NULL,NULL,2010-05-26 22:10:00,1
10015,CHF,2,Employment Level,3.96,3.97,3.96,2010-05-26 22:45:00,1
10016,EUR,2,German Buba President Weber Speaks,NULL,NULL,NULL,2010-05-27 00:30:00,1
10017,GBP,3,CBI Realized Sales,13,13,-18,2010-05-27 01:30:00,1
10018,CAD,1,Corporate Profits q/q,7.90,NULL,4.80,2010-05-27 04:00:00,1
10019,USD,1,Natural Gas Storage,76,101,104,2010-05-27 06:00:00,-1
10020,NZD,2,Building Consents m/m,0.10,NULL,8.50,2010-05-27 02:15:00,1
10021,GBP,2,GfK Consumer Confidence,-16,-15,-18,2010-05-27 02:31:00,1
10022,JPY,2,Household Spending y/y,4.40,2.50,-0.70,2010-05-27 03:00:00,1
10023,JPY,2,Retail Sales y/y,4.70,3.70,4.90,2010-05-27 03:20:00,1
10024,EUR,1,German Import Prices m/m,1.70,1.40,2.00,2010-05-27 21:30:00,1
10025,CHF,2,Trade Balance,1.70,2.17,2.02,2010-05-27 21:45:00,1
10026,EUR,1,Retail PMI,47.2,NULL,47.4,2010-05-27 23:30:00,1
